ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
15.08,148.3,Pittsburgh Defense,DEF,PIT,63,13.1,121,176,9
15.08,148.5,Brandon McManus,PK,DEN,174,15.7,107,176,9
15.09,148.5,Hunter Henry,TE,NE,51,17.0,115,188,10
15.09,149.0,Robert Tonyan Jr.,TE,GB,67,19.5,98,180,14
15.09,149.3,Indianapolis Defense,DEF,IND,149,13.3,131,176,14
15.10,149.6,Dallas Defense,DEF,DAL,55,19.4,99,180,9
15.10,150.1,New Orleans Defense,DEF,NO,55,13.2,133,180,14
15.10,150.2,Irv Smith Jr.,TE,MIN,86,21.7,93,188,7
15.10,150.3,Romeo Doubs,WR,GB,132,14.1,117,183,14
16.01,150.6,Geno Smith,QB,SEA,51,16.5,119,179,11
16.02,151.7,Green Bay Defense,DEF,GB,42,23.9,91,180,14
16.02,151.9,Jacoby Brissett,QB,CLE,48,16.5,111,178,9
16.03,152.7,Zamir White,RB,LV,87,15.2,123,180,6
16.04,153.8,Matt Prater,PK,ARI,118,12.3,139,178,13
16.05,155.0,Ryan Succop,PK,TB,73,12.8,133,177,11
16.05,155.1,Baltimore Defense,DEF,BAL,67,15.8,116,180,10
16.06,156.1,Younghoe Koo,PK,ATL,25,11.9,139,176,14
16.06,156.2,Isaiah McKenzie,WR,BUF,44,13.8,122,179,7
16.07,156.9,Jamaal Williams,RB,DET,65,15.1,117,180,6
16.07,157.4,Dustin Hopkins,PK,LAC,93,19.8,105,180,8
16.07,157.5,Chase Claypool,WR,PIT,55,16.4,114,179,9
16.08,157.8,Marquez Valdes-Scantling,WR,KC,88,15.3,118,180,8
16.09,159.2,Chris Boswell,PK,PIT,25,13.6,138,178,9
17.01,161.4,Albert Okwuegbunam,TE,DEN,30,23.5,100,191,9
17.02,162.4,New England Defense,DEF,NE,41,15.1,134,180,10
17.04,164.1,Rodrigo Blankenship,PK,IND,47,15.1,132,190,14
17.06,166.4,Denver Defense,DEF,DEN,37,12.9,142,180,9
