"ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye"
"14.01,131.4,Dawson Knox,TE,BUF,37,14.0,94,153,13"
"14.02,131.7,Justin Tucker,PK,BAL,238,14.6,93,158,13"
"14.03,132.7,Zach Charbonnet,RB,SEA,187,9.8,109,150,5"
"14.04,133.5,Cordarrelle Patterson,RB,ATL,23,10.0,112,150,11"
"14.05,134.6,Dallas Defense,DEF,DAL,102,12.3,102,160,7"
"14.05,134.9,Bryce Young,QB,CAR,48,16.6,94,177,7"
"14.05,134.9,Desmond Ridder,QB,ATL,27,11.5,112,159,11"
"14.05,135.3,Cole Kmet,TE,CHI,38,21.8,78,176,13"
"14.05,135.5,Buffalo Defense,DEF,BUF,77,12.1,105,157,13"
"14.07,136.7,Tyler Bass,PK,BUF,41,9.2,113,165,13"
"14.08,137.5,Nico Collins,WR,HOU,41,8.2,120,154,7"
"14.08,138.5,Dalton Kincaid,TE,BUF,86,22.3,92,179,13"
"14.08,138.5,New Orleans Defense,DEF,NO,113,16.1,96,171,11"
"14.09,138.9,Baker Mayfield,QB,TB,16,15.0,99,155,5"
"14.09,139.1,Evan McPherson,PK,CIN,64,10.5,111,164,7"
"14.10,139.5,Adam Thielen,WR,CAR,57,10.9,114,175,7"
"14.10,140.3,Philadelphia Defense,DEF,PHI,127,12.0,115,162,10"
"15.01,141.4,Zay Flowers,WR,BAL,221,16.8,100,176,13"
"15.02,141.9,Daniel Carlson,PK,LV,49,12.4,122,166,13"
"15.03,142.7,Quentin Johnston,WR,LAC,25,18.4,98,179,5"
"15.03,143.1,Tyler Higbee,TE,LAR,57,25.2,77,179,10"
"15.04,143.6,Luke Musgrave,TE,GB,10,19.9,120,180,6"
"15.04,144.1,Zay Jones,WR,JAX,47,20.6,99,180,9"
"15.05,144.8,Harrison Butker,PK,KC,70,10.9,132,168,10"
"15.05,145.2,Romeo Doubs,WR,GB,49,35.8,52,177,6"
"15.06,145.6,Donta Foreman,RB,CHI,21,13.1,120,175,13"
"15.07,146.6,Devon Achane,RB,MIA,55,17.6,101,173,10"
"15.07,146.8,Jaylen Warren,RB,PIT,160,16.9,102,177,6"
"15.08,147.6,Washington Defense,DEF,WAS,14,18.3,131,171,14"
"15.08,148.2,Younghoe Koo,PK,ATL,85,14.7,109,172,11"
"15.08,148.4,New England Defense,DEF,NE,70,11.8,133,171,11"
"15.09,148.8,Jake Elliott,PK,PHI,96,14.8,110,175,10"
"15.09,149.2,Sam LaPorta,TE,DET,27,19.3,102,176,9"
"15.09,149.3,Tank Bigsby,RB,JAX,98,16.6,106,179,9"
"15.10,150.2,Zamir White,RB,LV,14,10.8,136,169,13"
"16.01,150.8,Denver Defense,DEF,DEN,25,11.7,135,171,9"
"16.01,151.0,Baltimore Defense,DEF,BAL,54,14.3,120,174,13"
"16.01,151.2,Jameson Williams,WR,DET,34,39.9,47,184,9"
"16.01,151.2,Nick Folk,PK,TEN,23,10.4,138,176,7"
"16.02,151.5,Gerald Everett,TE,LAC,12,13.7,130,171,5"
"16.02,151.6,Odell Beckham Jr,WR,BAL,40,24.1,88,180,13"
"16.02,152.1,Jason Sanders,PK,MIA,55,10.4,137,179,10"
"16.02,152.3,Deuce Vaughn,RB,DAL,15,24.6,114,180,7"
"16.03,152.5,Matt Gay,PK,IND,11,8.6,146,168,11"
"16.03,153.1,NY Jets Defense,DEF,NYJ,16,16.0,136,177,7"
"16.05,154.8,Tyler Boyd,WR,CIN,16,18.2,114,173,7"
"16.06,155.9,Pittsburgh Defense,DEF,PIT,52,15.3,136,179,6"
"16.06,156.5,Miami Defense,DEF,MIA,44,13.3,138,180,10"
"16.07,156.5,Clyde Edwards-Helaire,RB,KC,23,12.7,141,180,10"
"16.09,158.5,Jason Myers,PK,SEA,50,14.2,142,179,5"
"16.10,160.5,Brandon McManus,PK,JAX,22,15.1,142,182,9"
"17.01,161.1,Roschon Johnson,RB,CHI,21,17.0,121,180,13"
"17.07,166.8,Graham Gano,PK,CAR,21,15.8,133,178,7"
"17.07,167.4,Greg Zuerlein,PK,NYJ,12,11.6,148,176,7"
