Rk,Player,Pos,Team,Bye
206,Ryan Fitzpatrick,QB,WAS,9
207,LA Chargers Defense,DEF,LAC,7
208,Jason Myers,PK,SEA,9
209,Mason Crosby,PK,GB,13
210,Tre'Quan Smith,WR,NO,6
211,Chicago Defense,DEF,CHI,10
212,Kansas City Defense,DEF,KC,12
213,John Brown,WR,LV,8
214,Robbie Gould,PK,SF,6
215,Brandon McManus,PK,DEN,11
216,Cam Akers,RB,LAR,11
